id_kho,ten_kho
21682000,Kho Giao Hàng N?ng Hà T?nh
21095000,Kho Giao Hàng N?ng Ngh? An
21283000,Kho Giao Hàng N?ng Qu?ng Bình
21086000,Kho Giao Hàng N?ng Thanh Hóa
21089000,Kho Giao Hàng N?ng ?à N?ng
22059000,Kho Giao Hàng N?ng Hòa Xuân-?à N?ng
21096000,Kho Giao Hàng N?ng Hu?
21386000,Kho Giao Hàng N?ng H?i An-Qu?ng Nam
21483000,Kho Giao Hàng N?ng Tam K?-Qu?ng Nam
21284000,Kho Giao Hàng N?ng Qu?ng Ngãi
21521000,Kho Giao Hàng N?ng Qu?ng Tr?
21090000,Kho Giao Hàng N?ng ??k L?k
21525000,Kho Giao Hàng N?ng ??k Nông
21091000,Kho Giao Hàng N?ng Gia Lai
21162000,Kho Giao Hàng N?ng KonTum
21087000,Kho Giao Hàng N?ng Bình ??nh
22168000,Kho Giao Hàng N?ng Hoài Nh?n-Bình ??nh
21285000,Kho Giao Hàng N?ng Bình Thu?n
22057000,Kho Giao Hàng N?ng Tuy Phong_Bình Thu?n
22028000,Kho Giao Hàng N?ng Lagi_Bình Thu?n
21498000,Kho Giao Hàng N?ng Cam Ranh-Khánh Hòa
21094000,Kho Giao Hàng N?ng Khánh Hòa
21163000,Kho Giao Hàng N?ng Ninh Thu?n
21347000,Kho Giao Hàng N?ng Phú Yên
